X,Y,Z
-15.157970767422396,-14.84381593286442,-32.598084530384334
-15.210759943245014,-14.857021339913736,-32.62708455148394
-15.263660284866372,-14.870266978555383,-32.6561729240461
-15.316672200202158,-14.883552934900813,-32.685349837177746
-10.298976363692287,-13.744056485349915,-30.103295550258817
-10.342368851345904,-13.753536121614378,-30.124058582809084
-10.385837322986964,-13.763050158783425,-30.14489696288132
-10.429382077142924,-13.772598631488389,-30.16581076632774
-15.118457874087934,-14.882845543582668,-32.59755942540533
-15.171176473633194,-14.896051511676115,-32.62648415814112
-15.22400591799617,-14.909297785324414,-32.65549717122058
-10.308452002455025,-13.79299915821447,-30.13099227895584
-10.351878937046784,-13.802505249395713,-30.151758463068486
-10.395381890184023,-13.812045868076673,-30.17260007296892
-10.438961160815271,-13.821621049163078,-30.19351718490916
-15.131664066553574,-14.935148948806127,-32.62603386686406
-15.18442300870102,-14.948395708047636,-32.65497159069401
-15.23729288147729,-14.961682932716718,-32.68399771179505
-10.404953128653965,-13.861143853206855,-30.200380596436677
-10.448567042888492,-13.870745795611553,-30.22130111484107
-10.492257609930505,-13.880382463137229,-30.242297291638515
-10.579869906159434,-13.899760118092221,-30.28451693533493
-14.987174720458603,-14.94794127878201,-32.56827290252538
-15.0396435485978,-14.96110755095499,-32.59695931072309
-15.092222178064802,-14.97431419229867,-32.625733674455525
-15.144911012523995,-14.98756128771855,-32.65459617871308
-10.414551091427779,-13.910344464774166,-30.22823868720706
-10.458199776637072,-13.919973221865371,-30.249162710213906
-10.501925150608946,-13.929636831710477,-30.27016247091125
-10.545727514523936,-13.939335330616412,-30.29123804819682
-10.589607170266813,-13.949068755316972,-30.31238952189595
-10.63356442043358,-13.958837142974664,-30.333616972765597
-15.00034103007673,-15.00034103007673,-32.59688429678483
-15.052850264732415,-15.013547783623453,-32.62558357878352
-15.105469385522378,-15.026795065806116,-32.65437093259696
-15.158198796717542,-15.040082961937925,-32.68324654361726
-10.555457059965518,-13.988719909919698,-30.31918490882505
